x_0, x_1, y
0.900000, -0.800000, 0.992713
0.896838, -0.796838, 0.991363
0.894458, -0.794458, 0.990275
0.892424, -0.792426, 0.989297
0.890595, -0.790597, 0.988380
0.888902, -0.788905, 0.987500
0.887307, -0.787311, 0.986643
0.885787, -0.785791, 0.985802
0.884324, -0.784329, 0.984970
0.882908, -0.782915, 0.984144
0.881531, -0.781538, 0.983321
0.880186, -0.780194, 0.982498
0.878868, -0.778877, 0.981675
0.877573, -0.777584, 0.980849
0.876299, -0.776310, 0.980019
0.875042, -0.775054, 0.979185
0.873800, -0.773813, 0.978346
0.872571, -0.772586, 0.977501
0.871355, -0.771371, 0.976650
0.870149, -0.770166, 0.975793
0.868954, -0.768972, 0.974928
0.867766, -0.767786, 0.974056
0.866587, -0.766608, 0.973177
0.865415, -0.765437, 0.972290
0.864250, -0.764272, 0.971396
0.863090, -0.763114, 0.970493
0.861936, -0.761961, 0.969583
0.860788, -0.760814, 0.968664
0.859644, -0.759671, 0.967737
0.858504, -0.758533, 0.966801
0.857369, -0.757399, 0.965858
0.856237, -0.756268, 0.964906
0.855109, -0.755141, 0.963945
0.853984, -0.754018, 0.962976
0.852863, -0.752898, 0.961999
0.851744, -0.751781, 0.961013
0.850629, -0.750666, 0.960019
0.849516, -0.749555, 0.959016
0.848405, -0.748445, 0.958005
0.847297, -0.747339, 0.956986
0.846192, -0.746234, 0.955958
0.845088, -0.745132, 0.954922
0.843987, -0.744032, 0.953877
0.842887, -0.742934, 0.952825
0.841790, -0.741838, 0.951764
0.840695, -0.740744, 0.950695
0.839601, -0.739652, 0.949618
0.838509, -0.738561, 0.948533
0.837419, -0.737472, 0.947439
0.836330, -0.736385, 0.946338
0.835243, -0.735299, 0.945229
0.834157, -0.734215, 0.944112
0.833073, -0.733132, 0.942987
0.831990, -0.732050, 0.941854
0.830909, -0.730970, 0.940713
0.829828, -0.729891, 0.939565
0.828750, -0.728814, 0.938409
0.827672, -0.727738, 0.937245
0.826596, -0.726663, 0.936074
0.825520, -0.725589, 0.934895
0.824446, -0.724517, 0.933709
0.823374, -0.723445, 0.932515
0.822302, -0.722375, 0.931314
0.821231, -0.721305, 0.930106
0.820161, -0.720237, 0.928891
0.819093, -0.719170, 0.927668
0.818025, -0.718104, 0.926438
0.816958, -0.717038, 0.925201
0.815892, -0.715974, 0.923957
0.814828, -0.714911, 0.922706
0.813764, -0.713848, 0.921448
0.812701, -0.712787, 0.920183
0.811639, -0.711726, 0.918911
0.810577, -0.710666, 0.917633
0.809517, -0.709607, 0.916347
0.808457, -0.708549, 0.915055
0.807398, -0.707492, 0.913757
0.806340, -0.706435, 0.912451
0.805283, -0.705379, 0.911140
0.804226, -0.704324, 0.909821
0.803171, -0.703270, 0.908496
0.802116, -0.702217, 0.907165
0.801061, -0.701164, 0.905828
0.800008, -0.700112, 0.904484
0.798955, -0.699060, 0.903134
0.797903, -0.698010, 0.901778
0.796851, -0.696959, 0.900416
0.795800, -0.695910, 0.899047
0.794750, -0.694861, 0.897673
0.793700, -0.693813, 0.896292
0.792651, -0.692766, 0.894906
0.791603, -0.691719, 0.893514
0.790555, -0.690673, 0.892115
0.789508, -0.689627, 0.890712
0.788461, -0.688582, 0.889302
0.787415, -0.687538, 0.887886
0.786370, -0.686494, 0.886465
0.785325, -0.685450, 0.885039
0.784280, -0.684408, 0.883607
0.783237, -0.683365, 0.882169
0.782193, -0.682324, 0.880726
0.781151, -0.681283, 0.879277
0.780108, -0.680242, 0.877823
0.779067, -0.679202, 0.876364
0.778025, -0.678162, 0.874899
0.776985, -0.677123, 0.873429
0.775944, -0.676085, 0.871954
0.774905, -0.675046, 0.870474
0.773865, -0.674009, 0.868989
0.772827, -0.672972, 0.867499
0.771788, -0.671935, 0.866004
0.770750, -0.670899, 0.864503
0.769713, -0.669863, 0.862998
0.768676, -0.668828, 0.861488
0.767639, -0.667793, 0.859973
0.766603, -0.666758, 0.858454
0.765568, -0.665724, 0.856930
0.764532, -0.664691, 0.855401
0.763498, -0.663658, 0.853867
0.762463, -0.662625, 0.852329
0.761429, -0.661593, 0.850786
0.760396, -0.660561, 0.849239
0.759362, -0.659529, 0.847687
0.758330, -0.658498, 0.846131
0.757297, -0.657467, 0.844570
0.756265, -0.656437, 0.843005
0.755233, -0.655407, 0.841436
0.754202, -0.654377, 0.839863
0.753171, -0.653348, 0.838285
0.752141, -0.652319, 0.836704
0.751110, -0.651291, 0.835118
0.750081, -0.650263, 0.833528
0.749051, -0.649235, 0.831934
0.748022, -0.648208, 0.830336
0.746993, -0.647181, 0.828734
0.745965, -0.646154, 0.827128
0.744937, -0.645128, 0.825518
0.743909, -0.644102, 0.823905
0.742881, -0.643076, 0.822288
0.741854, -0.642051, 0.820667
0.740827, -0.641026, 0.819042
0.739801, -0.640001, 0.817414
0.738775, -0.638977, 0.815782
0.737749, -0.637953, 0.814146
0.736723, -0.636929, 0.812507
0.735698, -0.635906, 0.810864
0.734673, -0.634882, 0.809218
0.733649, -0.633860, 0.807569
0.732624, -0.632837, 0.805916
0.731600, -0.631815, 0.804260
0.730576, -0.630793, 0.802600
0.729553, -0.629772, 0.800938
0.728530, -0.628750, 0.799272
0.727507, -0.627729, 0.797603
0.726484, -0.626708, 0.795931
0.725462, -0.625688, 0.794255
0.724440, -0.624668, 0.792577
0.723418, -0.623648, 0.790895
0.722397, -0.622628, 0.789211
0.721375, -0.621609, 0.787524
0.720355, -0.620590, 0.785833
0.719334, -0.619571, 0.784140
0.718313, -0.618553, 0.782444
0.717293, -0.617534, 0.780746
0.716273, -0.616516, 0.779044
0.715254, -0.615499, 0.777340
0.714234, -0.614481, 0.775633
0.713215, -0.613464, 0.773924
0.712196, -0.612447, 0.772212
0.711177, -0.611430, 0.770497
0.710159, -0.610414, 0.768780
0.709141, -0.609398, 0.767060
0.708123, -0.608382, 0.765338
0.707105, -0.607366, 0.763613
0.706088, -0.606350, 0.761886
0.705070, -0.605335, 0.760157
0.704053, -0.604320, 0.758425
0.703036, -0.603305, 0.756691
0.702020, -0.602291, 0.754955
0.701003, -0.601276, 0.753217
0.699987, -0.600262, 0.751477
0.698971, -0.599248, 0.749734
0.697956, -0.598235, 0.747989
0.696940, -0.597221, 0.746242
0.695925, -0.596208, 0.744494
0.694910, -0.595195, 0.742743
0.693895, -0.594183, 0.740990
0.692881, -0.593170, 0.739235
0.691866, -0.592158, 0.737479
0.690852, -0.591146, 0.735720
0.689838, -0.590134, 0.733960
0.688824, -0.589122, 0.732198
0.687811, -0.588110, 0.730434
0.686797, -0.587099, 0.728669
