x_0, y
0.050000, 1.992506
0.053162, 1.991529
0.055522, 1.990762
0.057529, 1.990082
0.059330, 1.989452
0.060994, 1.988853
0.062561, 1.988274
0.064054, 1.987708
0.065490, 1.987152
0.066879, 1.986601
0.068232, 1.986055
0.069552, 1.985511
0.070847, 1.984967
0.072120, 1.984423
0.073373, 1.983878
0.074610, 1.983331
0.075833, 1.982781
0.077043, 1.982229
0.078242, 1.981672
0.079431, 1.981112
0.080611, 1.980548
0.081784, 1.979979
0.082949, 1.979406
0.084108, 1.978827
0.085262, 1.978244
0.086410, 1.977656
0.087554, 1.977062
0.088693, 1.976463
0.089828, 1.975858
0.090959, 1.975248
0.092087, 1.974632
0.093212, 1.974010
0.094335, 1.973382
0.095454, 1.972749
0.096571, 1.972109
0.097685, 1.971464
0.098797, 1.970813
0.099907, 1.970155
0.101015, 1.969492
0.102122, 1.968822
0.103226, 1.968147
0.104329, 1.967465
0.105430, 1.966777
0.106529, 1.966083
0.107627, 1.965383
0.108724, 1.964677
0.109819, 1.963965
0.110913, 1.963246
0.112006, 1.962521
0.113098, 1.961790
0.114188, 1.961053
0.115277, 1.960310
0.116365, 1.959561
0.117452, 1.958805
0.118538, 1.958043
0.119623, 1.957276
0.120707, 1.956501
0.121791, 1.955721
0.122873, 1.954935
0.123954, 1.954142
0.125035, 1.953343
0.126114, 1.952539
0.127193, 1.951728
0.128271, 1.950910
0.129348, 1.950087
0.130425, 1.949258
0.131500, 1.948422
0.132575, 1.947580
0.133649, 1.946733
0.134723, 1.945879
0.135796, 1.945019
0.136868, 1.944153
0.137939, 1.943280
0.139010, 1.942402
0.140080, 1.941518
0.141150, 1.940627
0.142218, 1.939731
0.143287, 1.938828
0.144354, 1.937920
0.145422, 1.937005
0.146488, 1.936084
0.147554, 1.935157
0.148619, 1.934225
0.149684, 1.933286
0.150749, 1.932341
0.151812, 1.931390
0.152876, 1.930433
0.153938, 1.929470
0.155001, 1.928502
0.156062, 1.927527
0.157124, 1.926546
0.158184, 1.925559
0.159245, 1.924566
0.160305, 1.923568
0.161364, 1.922563
0.162423, 1.921552
0.163481, 1.920536
0.164539, 1.919513
0.165597, 1.918485
0.166654, 1.917451
0.167711, 1.916410
0.168767, 1.915364
0.169823, 1.914312
0.170879, 1.913254
0.171934, 1.912190
0.172988, 1.911121
0.174043, 1.910045
0.175097, 1.908964
0.176150, 1.907876
0.177203, 1.906783
0.178256, 1.905684
0.179309, 1.904579
0.180361, 1.903468
0.181412, 1.902352
0.182464, 1.901229
0.183515, 1.900101
0.184565, 1.898967
0.185616, 1.897827
0.186666, 1.896682
0.187715, 1.895530
0.188765, 1.894373
0.189814, 1.893210
0.190863, 1.892041
0.191911, 1.890867
0.192959, 1.889687
0.194007, 1.888501
0.195054, 1.887309
0.196101, 1.886111
0.197148, 1.884908
0.198195, 1.883699
0.199241, 1.882485
0.200287, 1.881264
0.201333, 1.880038
0.202378, 1.878806
0.203423, 1.877569
0.204468, 1.876326
0.205513, 1.875077
0.206557, 1.873823
0.207601, 1.872562
0.208645, 1.871297
0.209689, 1.870025
0.210732, 1.868748
0.211775, 1.867465
0.212818, 1.866177
0.213860, 1.864883
0.214903, 1.863584
0.215945, 1.862278
0.216986, 1.860968
0.218028, 1.859651
0.219069, 1.858329
0.220110, 1.857002
