x_0, x_1, y
0.900000, -0.800000, 0.992713
0.899000, -0.799000, 0.992298
0.897999, -0.797999, 0.991871
0.896998, -0.796998, 0.991434
0.895995, -0.795995, 0.990984
0.894990, -0.794990, 0.990523
0.893984, -0.793984, 0.990051
0.892975, -0.792975, 0.989566
0.891963, -0.791963, 0.989069
0.890949, -0.790949, 0.988560
0.889931, -0.789931, 0.988038
0.888910, -0.788910, 0.987504
0.887885, -0.787886, 0.986956
0.886856, -0.786857, 0.986396
0.885824, -0.785825, 0.985822
0.884787, -0.784788, 0.985235
0.883746, -0.783747, 0.984634
0.882700, -0.782701, 0.984019
0.881649, -0.781651, 0.983391
0.880594, -0.780596, 0.982748
0.879534, -0.779536, 0.982091
0.878468, -0.778471, 0.981419
0.877398, -0.777401, 0.980733
0.876322, -0.776326, 0.980032
0.875241, -0.775246, 0.979316
0.874155, -0.774160, 0.978585
0.873064, -0.773069, 0.977839
0.871967, -0.771973, 0.977077
0.870864, -0.770871, 0.976300
0.869757, -0.769764, 0.975507
0.868643, -0.768652, 0.974698
0.867525, -0.767534, 0.973874
0.866401, -0.766411, 0.973033
0.865271, -0.765282, 0.972177
0.864136, -0.764148, 0.971304
0.862996, -0.763009, 0.970415
0.861850, -0.761865, 0.969510
0.860699, -0.760715, 0.968589
0.859543, -0.759560, 0.967651
0.858382, -0.758400, 0.966696
0.857215, -0.757235, 0.965725
0.856043, -0.756065, 0.964737
0.854866, -0.754889, 0.963733
0.853685, -0.753709, 0.962712
0.852498, -0.752524, 0.961674
0.851306, -0.751334, 0.960620
0.850110, -0.750140, 0.959549
0.848909, -0.748940, 0.958461
0.847703, -0.747736, 0.957357
0.846493, -0.746528, 0.956236
0.845278, -0.745315, 0.955098
0.844058, -0.744098, 0.953943
0.842834, -0.742876, 0.952771
0.841606, -0.741651, 0.951583
0.840374, -0.740421, 0.950379
0.839137, -0.739187, 0.949157
0.837897, -0.737949, 0.947920
0.836652, -0.736707, 0.946665
0.835404, -0.735461, 0.945394
0.834152, -0.734211, 0.944107
0.832896, -0.732958, 0.942803
0.831636, -0.731701, 0.941483
0.830372, -0.730441, 0.940147
0.829105, -0.729177, 0.938795
0.827835, -0.727910, 0.937426
0.826561, -0.726640, 0.936042
0.825284, -0.725366, 0.934642
0.824004, -0.724089, 0.933225
0.822720, -0.722809, 0.931793
0.821434, -0.721526, 0.930346
0.820144, -0.720241, 0.928882
0.818852, -0.718952, 0.927403
0.817557, -0.717661, 0.925909
0.816258, -0.716366, 0.924400
0.814958, -0.715070, 0.922875
0.813654, -0.713770, 0.921335
0.812348, -0.712469, 0.919780
0.811039, -0.711164, 0.918211
0.809728, -0.709858, 0.916626
0.808415, -0.708549, 0.915028
0.807099, -0.707238, 0.913414
0.805781, -0.705925, 0.911786
0.804461, -0.704610, 0.910144
0.803138, -0.703292, 0.908488
0.801814, -0.701973, 0.906818
0.800488, -0.700652, 0.905133
0.799159, -0.699329, 0.903436
0.797829, -0.698004, 0.901724
0.796497, -0.696678, 0.899999
0.795164, -0.695350, 0.898261
0.793828, -0.694020, 0.896509
0.792491, -0.692689, 0.894745
0.791152, -0.691356, 0.892967
0.789812, -0.690022, 0.891177
0.788471, -0.688686, 0.889374
0.787128, -0.687350, 0.887559
0.785783, -0.686012, 0.885731
0.784437, -0.684672, 0.883891
0.783090, -0.683332, 0.882039
0.781742, -0.681990, 0.880176
0.780393, -0.680648, 0.878300
0.779042, -0.679304, 0.876413
0.777691, -0.677960, 0.874514
0.776338, -0.676615, 0.872604
0.774985, -0.675268, 0.870683
0.773631, -0.673921, 0.868751
0.772275, -0.672574, 0.866808
0.770919, -0.671225, 0.864854
0.769562, -0.669876, 0.862890
0.768205, -0.668526, 0.860915
0.766846, -0.667176, 0.858930
0.765488, -0.665825, 0.856936
0.764128, -0.664474, 0.854931
0.762768, -0.663122, 0.852916
0.761407, -0.661770, 0.850892
0.760046, -0.660418, 0.848858
0.758685, -0.659065, 0.846815
0.757323, -0.657712, 0.844763
0.755960, -0.656358, 0.842702
0.754598, -0.655005, 0.840632
0.753235, -0.653651, 0.838553
0.751872, -0.652297, 0.836466
0.750508, -0.650943, 0.834370
0.749145, -0.649589, 0.832267
