x_0, y
0.050000, 1.992506
0.051000, 1.992204
0.052000, 1.991895
0.053002, 1.991580
0.054004, 1.991259
0.055008, 1.990932
0.056013, 1.990598
0.057020, 1.990257
0.058029, 1.989909
0.059041, 1.989555
0.060055, 1.989193
0.061072, 1.988825
0.062091, 1.988449
0.063115, 1.988066
0.064141, 1.987675
0.065171, 1.987276
0.066205, 1.986870
0.067242, 1.986456
0.068284, 1.986034
0.069330, 1.985603
0.070379, 1.985165
0.071434, 1.984718
0.072493, 1.984262
0.073556, 1.983798
0.074624, 1.983325
0.075697, 1.982843
0.076774, 1.982352
0.077857, 1.981852
0.078944, 1.981342
0.080036, 1.980824
0.081133, 1.980295
0.082236, 1.979758
0.083343, 1.979210
0.084455, 1.978653
0.085573, 1.978085
0.086695, 1.977508
0.087823, 1.976921
0.088956, 1.976323
0.090094, 1.975715
0.091237, 1.975097
0.092385, 1.974468
0.093538, 1.973828
0.094697, 1.973178
0.095860, 1.972517
0.097028, 1.971845
0.098202, 1.971162
0.099380, 1.970468
0.100563, 1.969763
0.101751, 1.969047
0.102944, 1.968320
0.104142, 1.967581
0.105345, 1.966831
0.106552, 1.966069
0.107764, 1.965295
0.108981, 1.964510
0.110202, 1.963714
0.111429, 1.962905
0.112659, 1.962085
0.113894, 1.961253
0.115134, 1.960408
0.116378, 1.959552
0.117626, 1.958684
0.118879, 1.957803
0.120136, 1.956910
0.121397, 1.956005
0.122663, 1.955088
0.123932, 1.954158
0.125206, 1.953216
0.126484, 1.952262
0.127765, 1.951295
0.129051, 1.950315
0.130341, 1.949323
0.131634, 1.948318
0.132932, 1.947300
0.134233, 1.946269
0.135537, 1.945226
0.136846, 1.944170
0.138158, 1.943101
0.139474, 1.942019
0.140793, 1.940925
0.142116, 1.939817
0.143442, 1.938696
0.144772, 1.937562
0.146105, 1.936415
0.147442, 1.935255
0.148781, 1.934082
0.150124, 1.932896
0.151470, 1.931696
0.152820, 1.930484
0.154172, 1.929258
0.155528, 1.928018
0.156886, 1.926766
0.158248, 1.925500
0.159613, 1.924221
0.160980, 1.922928
0.162350, 1.921622
0.163724, 1.920302
0.165099, 1.918969
0.166478, 1.917623
