x_0, x_1, y
0.900000, -0.800000, 0.992713
0.899783, -0.799807, 0.992629
0.899565, -0.799613, 0.992543
0.899346, -0.799418, 0.992457
0.899125, -0.799222, 0.992370
0.898903, -0.799025, 0.992281
0.898681, -0.798827, 0.992192
0.898456, -0.798628, 0.992102
0.898231, -0.798428, 0.992011
0.898004, -0.798226, 0.991918
0.897776, -0.798024, 0.991825
0.897547, -0.797820, 0.991731
0.897317, -0.797615, 0.991636
0.897085, -0.797409, 0.991539
0.896852, -0.797202, 0.991442
0.896618, -0.796994, 0.991344
0.896383, -0.796785, 0.991244
0.896146, -0.796574, 0.991144
0.895908, -0.796363, 0.991042
0.895669, -0.796150, 0.990939
0.895428, -0.795936, 0.990835
0.895186, -0.795721, 0.990730
0.894943, -0.795505, 0.990624
0.894699, -0.795288, 0.990517
0.894453, -0.795069, 0.990408
0.894206, -0.794849, 0.990299
0.893957, -0.794628, 0.990188
0.893707, -0.794406, 0.990076
0.893456, -0.794183, 0.989962
0.893203, -0.793959, 0.989848
0.892950, -0.793733, 0.989732
0.892694, -0.793506, 0.989615
0.892438, -0.793278, 0.989497
0.892180, -0.793049, 0.989378
0.891920, -0.792818, 0.989257
0.891659, -0.792586, 0.989135
0.891397, -0.792353, 0.989011
0.891134, -0.792119, 0.988887
0.890869, -0.791883, 0.988761
0.890602, -0.791647, 0.988633
0.890335, -0.791409, 0.988505
0.890065, -0.791169, 0.988374
0.889795, -0.790929, 0.988243
0.889523, -0.790687, 0.988110
0.889249, -0.790444, 0.987976
0.888974, -0.790199, 0.987840
0.888698, -0.789954, 0.987703
0.888420, -0.789707, 0.987564
0.888140, -0.789458, 0.987424
0.887860, -0.789209, 0.987283
0.887577, -0.788958, 0.987140
0.887294, -0.788705, 0.986995
0.887008, -0.788452, 0.986849
0.886722, -0.788197, 0.986702
0.886433, -0.787941, 0.986552
0.886144, -0.787683, 0.986402
0.885852, -0.787424, 0.986249
0.885559, -0.787164, 0.986096
0.885265, -0.786902, 0.985940
0.884969, -0.786639, 0.985783
0.884672, -0.786375, 0.985624
0.884373, -0.786109, 0.985464
0.884072, -0.785842, 0.985302
