x_0, y
0.050000, 1.992506
0.050300, 1.992416
0.050601, 1.992325
0.050904, 1.992233
0.051209, 1.992140
0.051515, 1.992046
0.051824, 1.991950
0.052134, 1.991853
0.052447, 1.991756
0.052761, 1.991657
0.053077, 1.991557
0.053395, 1.991455
0.053714, 1.991353
0.054036, 1.991249
0.054360, 1.991144
0.054685, 1.991038
0.055013, 1.990930
0.055342, 1.990821
0.055673, 1.990711
0.056007, 1.990600
0.056342, 1.990487
0.056679, 1.990373
0.057019, 1.990257
0.057360, 1.990140
0.057704, 1.990022
0.058049, 1.989902
0.058396, 1.989781
0.058746, 1.989659
0.059098, 1.989535
0.059451, 1.989409
0.059807, 1.989282
0.060165, 1.989153
0.060525, 1.989023
0.060888, 1.988892
0.061252, 1.988759
0.061619, 1.988624
0.061988, 1.988487
0.062358, 1.988349
0.062732, 1.988210
0.063107, 1.988068
0.063485, 1.987925
0.063865, 1.987781
0.064247, 1.987634
0.064631, 1.987486
0.065018, 1.987336
0.065407, 1.987184
0.065798, 1.987031
0.066192, 1.986875
0.066588, 1.986718
0.066986, 1.986559
0.067387, 1.986398
0.067790, 1.986235
0.068195, 1.986070
0.068603, 1.985903
0.069014, 1.985734
0.069426, 1.985563
0.069842, 1.985390
0.070259, 1.985215
0.070680, 1.985038
0.071102, 1.984859
0.071527, 1.984678
0.071955, 1.984494
0.072385, 1.984309
0.072818, 1.984121
0.073254, 1.983931
0.073691, 1.983738
0.074132, 1.983544
0.074575, 1.983347
0.075021, 1.983147
0.075469, 1.982946
0.075921, 1.982741
0.076374, 1.982535
0.076831, 1.982326
0.077290, 1.982114
0.077752, 1.981901
0.078216, 1.981684
0.078684, 1.981465
0.079154, 1.981243
0.079627, 1.981019
0.080103, 1.980792
0.080581, 1.980562
0.081063, 1.980330
0.081547, 1.980095
0.082034, 1.979857
0.082524, 1.979616
0.083017, 1.979372
0.083513, 1.979126
0.084011, 1.978876
0.084513, 1.978624
0.085018, 1.978368
0.085525, 1.978110
0.086036, 1.977848
0.086550, 1.977584
0.087066, 1.977316
0.087586, 1.977045
0.088109, 1.976771
0.088635, 1.976493
0.089164, 1.976213
0.089696, 1.975929
0.090231, 1.975641
0.090770, 1.975350
0.091311, 1.975056
0.091856, 1.974758
0.092404, 1.974457
0.092956, 1.974152
0.093510, 1.973844
0.094068, 1.973532
0.094629, 1.973216
0.095193, 1.972897
0.095761, 1.972574
0.096332, 1.972246
0.096907, 1.971916
0.097484, 1.971581
0.098066, 1.971242
0.098650, 1.970899
0.099238, 1.970552
0.099830, 1.970201
0.100425, 1.969846
0.101023, 1.969487
0.101625, 1.969124
0.102231, 1.968756
0.102840, 1.968384
0.103453, 1.968007
0.104069, 1.967626
0.104689, 1.967241
0.105312, 1.966851
0.105940, 1.966456
0.106570, 1.966057
0.107205, 1.965653
0.107843, 1.965245
0.108485, 1.964831
0.109131, 1.964413
0.109781, 1.963990
0.110434, 1.963562
0.111091, 1.963128
0.111752, 1.962690
0.112417, 1.962247
0.113086, 1.961798
0.113759, 1.961344
0.114436, 1.960885
0.115116, 1.960420
0.115801, 1.959950
0.116489, 1.959475
0.117182, 1.958994
0.117879, 1.958507
0.118579, 1.958014
0.119284, 1.957516
0.119993, 1.957012
0.120706, 1.956502
0.121423, 1.955986
0.122145, 1.955465
0.122870, 1.954937
0.123600, 1.954402
0.124334, 1.953862
0.125073, 1.953315
0.125815, 1.952762
0.126562, 1.952203
0.127313, 1.951637
0.128069, 1.951064
0.128829, 1.950485
0.129593, 1.949899
0.130362, 1.949306
0.131136, 1.948706
0.131913, 1.948099
0.132696, 1.947486
0.133482, 1.946865
0.134274, 1.946237
0.135070, 1.945601
0.135870, 1.944959
0.136676, 1.944308
0.137485, 1.943651
0.138300, 1.942985
0.139119, 1.942312
0.139943, 1.941631
0.140772, 1.940943
0.141605, 1.940246
0.142444, 1.939541
0.143287, 1.938828
0.144135, 1.938107
0.144987, 1.937378
0.145845, 1.936640
0.146708, 1.935894
0.147575, 1.935139
0.148448, 1.934375
0.149326, 1.933603
0.150208, 1.932822
0.151096, 1.932031
0.151989, 1.931232
0.152887, 1.930423
0.153790, 1.929606
0.154698, 1.928778
0.155611, 1.927942
0.156530, 1.927096
0.157454, 1.926240
0.158383, 1.925374
0.159317, 1.924498
0.160257, 1.923613
0.161202, 1.922717
0.162152, 1.921811
0.163108, 1.920895
0.164070, 1.919968
0.165036, 1.919031
0.166009, 1.918083
0.166986, 1.917124
0.167970, 1.916155
0.168958, 1.915174
0.169953, 1.914182
0.170953, 1.913179
0.171959, 1.912165
0.172970, 1.911139
0.173987, 1.910102
0.175010, 1.909052
0.176039, 1.907991
0.177073, 1.906918
0.178113, 1.905833
0.179159, 1.904736
0.180211, 1.903626
0.181269, 1.902504
0.182333, 1.901369
0.183403, 1.900222
0.184479, 1.899061
0.185560, 1.897888
0.186648, 1.896701
0.187742, 1.895501
0.188842, 1.894288
0.189948, 1.893061
0.191060, 1.891820
0.192179, 1.890566
0.193303, 1.889298
0.194434, 1.888015
0.195572, 1.886718
0.196715, 1.885407
0.197865, 1.884081
0.199021, 1.882741
0.200184, 1.881385
0.201353, 1.880015
0.202528, 1.878629
0.203710, 1.877229
0.204899, 1.875812
0.206094, 1.874380
0.207295, 1.872933
0.208503, 1.871469
0.209718, 1.869989
0.210939, 1.868493
0.212168, 1.866981
0.213402, 1.865452
0.214644, 1.863907
0.215892, 1.862344
0.217147, 1.860765
0.218409, 1.859168
0.219678, 1.857554
0.220954, 1.855922
0.222236, 1.854272
0.223526, 1.852605
0.224822, 1.850920
0.226126, 1.849216
0.227436, 1.847494
0.228754, 1.845753
0.230078, 1.843994
0.231410, 1.842216
0.232749, 1.840418
0.234095, 1.838601
0.235448, 1.836765
0.236809, 1.834909
0.238177, 1.833034
0.239552, 1.831138
0.240934, 1.829222
0.242324, 1.827286
0.243721, 1.825329
0.245125, 1.823351
0.246537, 1.821353
0.247956, 1.819333
0.249383, 1.817292
0.250817, 1.815230
0.252259, 1.813146
0.253708, 1.811039
0.255165, 1.808911
0.256630, 1.806761
0.258102, 1.804588
0.259582, 1.802392
0.261069, 1.800174
0.262565, 1.797932
0.264068, 1.795667
0.265578, 1.793379
0.267097, 1.791067
0.268623, 1.788732
0.270157, 1.786372
0.271700, 1.783988
0.273249, 1.781579
0.274807, 1.779146
0.276373, 1.776688
0.277947, 1.774205
0.279529, 1.771696
0.281119, 1.769162
0.282716, 1.766603
0.284322, 1.764017
0.285936, 1.761406
0.287558, 1.758768
0.289189, 1.756104
0.290827, 1.753413
0.292474, 1.750695
0.294128, 1.747950
0.295791, 1.745177
0.297463, 1.742377
0.299142, 1.739550
0.300830, 1.736694
0.302526, 1.733810
0.304230, 1.730898
0.305943, 1.727958
0.307664, 1.724988
0.309394, 1.721990
0.311132, 1.718962
0.312878, 1.715905
0.314633, 1.712819
0.316396, 1.709702
0.318168, 1.706556
0.319948, 1.703379
0.321736, 1.700172
0.323534, 1.696935
0.325339, 1.693666
0.327154, 1.690367
0.328977, 1.687036
0.330808, 1.683674
0.332648, 1.680280
0.334497, 1.676855
0.336354, 1.673397
0.338220, 1.669908
0.340094, 1.666386
0.341978, 1.662831
0.343870, 1.659243
0.345770, 1.655623
0.347679, 1.651969
0.349597, 1.648282
